borough,developmen,tds_num,Latitude,Longitude,scores_SCORE,NYCHA-data_CONSOLIDATED TDS#,NYCHA-data_NUMBER OF CURRENT APARTMENTS,NYCHA-data_TOTAL NUMBER OF APARTMENTS,NYCHA-data_NUMBER OF RENTAL ROOMS,NYCHA-data_AVG NO R/R PER APARTMENT,NYCHA-data_POPULATION PUBLIC HOUSING,NYCHA_data_TOTALPOPULATION,NYCHA-data_TOTAL # OF FIXED INCOME HOUSEHOLD,NYCHA-data_PERCENT FIXED INCOME HOUSEHOLDS,NYCHA-data_NUMBER OF RESIDENTIAL BLDGS,NYCHA-data_NUMBER OF NON-RESIDENTIAL BLDGS,NYCHA-data_PER RENTAL ROOM,NYCHA-data_AVG MONTHLY GROSS RENT
BRONX,1010 EAST 178TH STREET,180,40.840796,-73.880297,0.698244565854167,180,218,220,918.0,4.21,450,450,89,0.418,1,0,"$5,341.00",$503.00
BROOKLYN,104-14 TAPSCOTT STREET,242,40.665087,-73.9206,0.634043633121212,167,30,30,131.0,4.37,65,65,5,0.172,1,0,"$6,505.00",$643.00
BRONX,1162-1176 WASHINGTON AVENUE,233,40.829969,-73.907259,0.7070884544,308,65,66,293.5,4.52,170,170,21,0.328,1,0,"$7,302.00",$440.00
MANHATTAN,131 SAINT NICHOLAS AVENUE,154,40.804113,-73.953244,0.890579018694444,97,98,100,386.0,3.94,165,165,41,0.427,1,0,"$4,694.00",$529.00
BRONX,1471 WATSON AVENUE,214,40.826136,-73.88108,0.821089310333333,67,96,96,386.0,4.02,156,156,47,0.505,1,0,"$5,814.00",$452.00
MANHATTAN,154 WEST 84TH STREET,359,40.785853,-73.975341,0.644324136074074,359,35,35,157.5,4.5,74,74,7,0.2,1,0,"$28,412.00",$644.00
BROOKLYN,303 VERNON AVENUE,156,40.696112,-73.939525,0.635748768566667,73,234,234,"1,101.0",4.71,541,541,100,0.431,1,0,"$4,272.00",$511.00
MANHATTAN,335 EAST 111TH STREET,203,40.793221,-73.938141,0.681731612351852,64,66,66,259.0,3.92,114,114,33,0.5,1,0,"$4,651.00",$482.00
MANHATTAN,344 EAST 28TH STREET,185,40.739948,-73.976987,0.569675612833333,153,225,225,985.5,4.38,281,427,111,0.502,1,0,"$5,053.00",$516.00
MANHATTAN,45 ALLEN STREET,265,40.716719,-73.992267,0.585162757956522,100,107,107,537.5,5.02,237,237,46,0.442,1,1,"$7,981.00",$687.00
MANHATTAN,830 AMSTERDAM AVENUE,150,40.797054,-73.968728,0.743174558119048,82,158,159,724.0,4.58,351,351,63,0.404,1,0,"$4,992.00",$492.00
BRONX,ADAMS,118,40.816611,-73.90565,0.636307678430556,118,924,925,"4,306.0",4.66,"2,310","2,310",335,0.364,7,0,"$4,149.00",$497.00
BROOKLYN,ALBANY,31,40.673647,-73.937623,0.636049048315789,31,823,829,"3,777.5",4.59,"1,886","1,886",267,0.327,6,0,"$2,356.00",$565.00
BROOKLYN,ALBANY II,85,40.674861,-73.937505,0.637552661857143,31,400,400,"1,848.0",4.62,985,985,130,0.331,3,0,"$2,540.00",$542.00
MANHATTAN,AMSTERDAM,22,40.773051,-73.987338,0.560905164416667,22,"1,084","1,084","5,129.0",4.73,"2,270","2,270",468,0.435,13,0,"$2,391.00",$544.00
MANHATTAN,AMSTERDAM ADDITION,187,40.774661,-73.987003,0.693042001666667,22,175,175,762.5,4.36,287,353,97,0.557,1,0,"$9,250.00",$510.00
QUEENS,ASTORIA,26,40.773602,-73.934951,0.0791752723333332,26,"1,104","1,104","5,607.0",5.08,"3,032","3,032",366,0.333,22,1,"$2,519.00",$593.00
BROOKLYN,ATLANTIC TERMINAL SITE 4B,256,40.682932,-73.970162,0.466355834,163,299,300,"1,237.5",4.14,582,582,121,0.41,1,0,"$8,489.00",$562.00
MANHATTAN,AUDUBON,125,40.831062,-73.942853,0.5725502694,3,167,168,826.5,4.95,446,446,64,0.388,1,0,"$3,382.00",$578.00
BRONX,BAILEY AVENUE-WEST 193RD STREET,202,40.869943,-73.906697,0.537971500611111,197,232,233,976.0,4.21,455,455,89,0.387,1,0,"$8,173.00",$493.00
BRONX,EASTCHESTER GARDENS,34,40.870299,-73.852252,0.370380906277778,34,877,877,"4,249.5",4.85,"2,051","2,051",323,0.371,10,0,"$2,244.00",$551.00
QUEENS,BAISLEY PARK,91,40.685219,-73.783403,0,91,381,386,"1,779.5",4.67,947,947,143,0.377,5,1,"$3,246.00",$548.00
MANHATTAN,BARUCH,60,40.717441,-73.977787,0.514688381875,60,"2,193","2,194","10,240.5",4.67,"4,872","4,872",962,0.445,17,1,"$3,553.00",$534.00
MANHATTAN,BARUCH HOUSES ADDITION,198,40.717066,-73.979179,0.539719459592593,60,197,197,646.5,3.28,242,242,179,0.923,1,0,"$9,907.00",$302.00
BROOKLYN,BAY VIEW,92,40.633336,-73.885972,1,92,"1,609","1,610","7,310.5",4.54,"2,635","3,506",620,0.388,23,2,"$2,676.00",$529.00
QUEENS,BEACH 41ST STREET-BEACH CHANNEL DRIVE,165,40.597165,-73.772966,1,165,712,712,"3,106.0",4.36,"1,622","1,622",233,0.335,4,1,"$7,988.00",$470.00
BROOKLYN,BEDFORD-STUYVESANT REHAB,311,40.6947,-73.942094,0.741905199285714,73,84,85,381.0,4.54,180,180,29,0.349,3,0,"$13,316.00",$579.00
BROOKLYN,BELMONT-SUTTER AREA,345,40.671291,-73.886687,0.818721841166667,46,72,72,336.0,4.67,189,189,21,0.292,3,0,"$15,993.00",$577.00
STATEN ISLAND,BERRY,52,40.587176,-74.101989,0,52,506,506,"2,129.0",4.21,944,944,220,0.439,8,1,"$2,785.00",$511.00
MANHATTAN,BETHUNE GARDENS,160,40.832169,-73.941756,0.525225193425926,3,210,210,735.0,3.5,260,260,185,0.885,1,0,"$5,007.00",$337.00
QUEENS,BLAND,54,40.757956,-73.83285,0.5733294596,186,399,400,"1,850.5",4.64,863,863,167,0.423,5,0,"$3,205.00",$585.00
BROOKLYN,BORINQUEN PLAZA I,243,40.704531,-73.942667,0.68802505005,243,509,509,"2,359.5",4.64,"1,123","1,123",270,0.539,8,2,"$6,556.00",$539.00
